text,label_numeric,label,cleaned_text,tokens
MOITHUTI O PHOMOLITSOE KA PHUPU E MAHLONOKO MAOBANE,-1,negative,moithuti o phomolitsoe ka phupu e mahlonoko maobane,"['moithuti', 'o', 'phomolitsoe', 'ka', 'phupu', 'e', 'mahlonoko', 'maobane']"
SECHABA SE QETA HO QHAUTSA RASETHUNYA,1,positive,sechaba se qeta ho qhautsa rasethunya,"['sechaba', 'se', 'qeta', 'ho', 'qhautsa', 'rasethunya']"
MOSUOE-HLOOHO O THUNYELITSOE LEFU BASHEMANENG MAOBANE,-1,negative,mosuoehlooho o thunyelitsoe lefu bashemaneng maobane,"['mosuoehlooho', 'o', 'thunyelitsoe', 'lefu', 'bashemaneng', 'maobane']"
UTLOA MELEKO E ETSAHETSENG MAOBANE BASHEMANENG,-1,negative,utloa meleko e etsahetseng maobane bashemaneng,"['utloa', 'meleko', 'e', 'etsahetseng', 'maobane', 'bashemaneng']"
BONA MONNA EA BOLAETSENG MOSALI SETHALENG,-1,negative,bona monna ea bolaetseng mosali sethaleng,"['bona', 'monna', 'ea', 'bolaetseng', 'mosali', 'sethaleng']"
MONNA O BATLA KHAITSELI-AE LIKOBO,-1,negative,monna o batla khaitseliae likobo,"['monna', 'o', 'batla', 'khaitseliae', 'likobo']"
MONNA O FOSOA KA LETHALA LA LIKULO,1,positive,monna o fosoa ka lethala la likulo,"['monna', 'o', 'fosoa', 'ka', 'lethala', 'la', 'likulo']"
O KHAMME MOSALI'AE HO FIHLELA A 'MOLAILE,-1,negative,o khamme mosaliae ho fihlela a molaile,"['o', 'khamme', 'mosaliae', 'ho', 'fihlela', 'a', 'molaile']"
O 'MOLAETSE MAHLONG A MOR'A BONA,-1,negative,o molaetse mahlong a mora bona,"['o', 'molaetse', 'mahlong', 'a', 'mora', 'bona']"
LEFAHLA LE EILENG LA BOLAOA LE TLA BOLOKOA BOESA LETAMONG LEO A FUMANOENG HO LONA,1,positive,lefahla le eileng la bolaoa le tla bolokoa boesa letamong leo a fumanoeng ho lona,"['lefahla', 'le', 'eileng', 'la', 'bolaoa', 'le', 'tla', 'bolokoa', 'boesa', 'letamong', 'leo', 'a', 'fumanoeng', 'ho', 'lona']"
SEPOLESA SE HLAKISA SE ILENG SA ETSAHALA KA BOTEBO HOSENG KAJENO,0,neutral,sepolesa se hlakisa se ileng sa etsahala ka botebo hoseng kajeno,"['sepolesa', 'se', 'hlakisa', 'se', 'ileng', 'sa', 'etsahala', 'ka', 'botebo', 'hoseng', 'kajeno']"
MOPARAMENTE O THUNYELITSOE LEFU HOSENG KAJENO,-1,negative,moparamente o thunyelitsoe lefu hoseng kajeno,"['moparamente', 'o', 'thunyelitsoe', 'lefu', 'hoseng', 'kajeno']"
MOAHO OA KOMPONE O REKISITSOE KA LIPABI,-1,negative,moaho oa kompone o rekisitsoe ka lipabi,"['moaho', 'oa', 'kompone', 'o', 'rekisitsoe', 'ka', 'lipabi']"
LITABA TSA MOSALI'A BALAUOENG LI HLAHISA MOHLONO,-1,negative,litaba tsa mosalia balauoeng li hlahisa mohlono,"['litaba', 'tsa', 'mosalia', 'balauoeng', 'li', 'hlahisa', 'mohlono']"
BA KHABELA NAMA EA NTJA,-1,negative,ba khabela nama ea ntja,"['ba', 'khabela', 'nama', 'ea', 'ntja']"
NGOANANA O HLOKAHALA KAMORA NTLO ESALE A EA NTLOANENG MAOBANE,-1,negative,ngoanana o hlokahala kamora ntlo esale a ea ntloaneng maobane,"['ngoanana', 'o', 'hlokahala', 'kamora', 'ntlo', 'esale', 'a', 'ea', 'ntloaneng', 'maobane']"
MONNA O FIHLA HA NKHONO A TSOTSE A SELAKHUOE MOLALA LE LITAPOLE,-1,negative,monna o fihla ha nkhono a tsotse a selakhuoe molala le litapole,"['monna', 'o', 'fihla', 'ha', 'nkhono', 'a', 'tsotse', 'a', 'selakhuoe', 'molala', 'le', 'litapole']"
SEPOLESA SE BATLISA KA SETOPO SA MOSALI,-1,negative,sepolesa se batlisa ka setopo sa mosali,"['sepolesa', 'se', 'batlisa', 'ka', 'setopo', 'sa', 'mosali']"
BISHOPO O TLOTLA SEBOHOLI KA HO MO REKELA KOLOI E NCHA-CHA,1,positive,bishopo o tlotla seboholi ka ho mo rekela koloi e nchacha,"['bishopo', 'o', 'tlotla', 'seboholi', 'ka', 'ho', 'mo', 'rekela', 'koloi', 'e', 'nchacha']"
NTATE MATSALE O THETEHELA LIKOBONG TSA NGOETSI,-1,negative,ntate matsale o thetehela likobong tsa ngoetsi,"['ntate', 'matsale', 'o', 'thetehela', 'likobong', 'tsa', 'ngoetsi']"
MOQHOBI OA TEKESI O QETA HO PARAKOLLOA KA KOLOING,1,positive,moqhobi oa tekesi o qeta ho parakolloa ka koloing,"['moqhobi', 'oa', 'tekesi', 'o', 'qeta', 'ho', 'parakolloa', 'ka', 'koloing']"
LEFU LE MO SITISA HO LATSOA MONATE OA BOK'HANSELARA,-1,negative,lefu le mo sitisa ho latsoa monate oa bokhanselara,"['lefu', 'le', 'mo', 'sitisa', 'ho', 'latsoa', 'monate', 'oa', 'bokhanselara']"
BANA BA BANANA BA FUMANOA BA PHAPHAMETSE KA LETAMONG,-1,negative,bana ba banana ba fumanoa ba phaphametse ka letamong,"['bana', 'ba', 'banana', 'ba', 'fumanoa', 'ba', 'phaphametse', 'ka', 'letamong']"
LINGAKA LI TLA KOETLISOA KAHARA NAHA,1,positive,lingaka li tla koetlisoa kahara naha,"['lingaka', 'li', 'tla', 'koetlisoa', 'kahara', 'naha']"
BA HABO MOFU BA AMOHELA LENGOLO LA HAE LA THUTO,1,positive,ba habo mofu ba amohela lengolo la hae la thuto,"['ba', 'habo', 'mofu', 'ba', 'amohela', 'lengolo', 'la', 'hae', 'la', 'thuto']"
BAAHISANE BA THIBILE MONNA A ILO LAHLELA MOSALI KA NTLOANENG,1,positive,baahisane ba thibile monna a ilo lahlela mosali ka ntloaneng,"['baahisane', 'ba', 'thibile', 'monna', 'a', 'ilo', 'lahlela', 'mosali', 'ka', 'ntloaneng']"
MONNA O KHAKHATHELA MOSALI LEFU,-1,negative,monna o khakhathela mosali lefu,"['monna', 'o', 'khakhathela', 'mosali', 'lefu']"
MONNA O KAPILE MOSALI KA SELEPE,-1,negative,monna o kapile mosali ka selepe,"['monna', 'o', 'kapile', 'mosali', 'ka', 'selepe']"
MOHLANKANA EA NENG A ISOA LEBOLLONG O SELAKHUOE,-1,negative,mohlankana ea neng a isoa lebollong o selakhuoe,"['mohlankana', 'ea', 'neng', 'a', 'isoa', 'lebollong', 'o', 'selakhuoe']"
MOQHOBI OA TEKESI O QETA HO THUNYETSOA LEFU,-1,negative,moqhobi oa tekesi o qeta ho thunyetsoa lefu,"['moqhobi', 'oa', 'tekesi', 'o', 'qeta', 'ho', 'thunyetsoa', 'lefu']"
SEROPO SE ETSOA KA MOSALI,-1,negative,seropo se etsoa ka mosali,"['seropo', 'se', 'etsoa', 'ka', 'mosali']"
MOQHOBI O NKETSOE LEPHELE KA LIKHOKA,-1,negative,moqhobi o nketsoe lephele ka likhoka,"['moqhobi', 'o', 'nketsoe', 'lephele', 'ka', 'likhoka']"
SEPOLESA SE QETA HO PHUTHA SETOPO SA NGOANANA,-1,negative,sepolesa se qeta ho phutha setopo sa ngoanana,"['sepolesa', 'se', 'qeta', 'ho', 'phutha', 'setopo', 'sa', 'ngoanana']"
MOFU O FUMANOA A NA LE MATŠOAO A PETO,-1,negative,mofu o fumanoa a na le matoao a peto,"['mofu', 'o', 'fumanoa', 'a', 'na', 'le', 'matoao', 'a', 'peto']"
SEBONOANG SE BONOA KE BOHLE NGOANA O QETA HO FUMANOA,-1,negative,sebonoang se bonoa ke bohle ngoana o qeta ho fumanoa,"['sebonoang', 'se', 'bonoa', 'ke', 'bohle', 'ngoana', 'o', 'qeta', 'ho', 'fumanoa']"
SUPHAMAKETE E CHESITSOENG,-1,negative,suphamakete e chesitsoeng,"['suphamakete', 'e', 'chesitsoeng']"
SEPOLESA SE NTSE SE TSOMANA LE NGOANA EA NYAMETSENG,-1,negative,sepolesa se ntse se tsomana le ngoana ea nyametseng,"['sepolesa', 'se', 'ntse', 'se', 'tsomana', 'le', 'ngoana', 'ea', 'nyametseng']"
MONNA O THUNTSE MOSALI KA LIKULO TSE TŠELETSENG,-1,negative,monna o thuntse mosali ka likulo tse teletseng,"['monna', 'o', 'thuntse', 'mosali', 'ka', 'likulo', 'tse', 'teletseng']"
MONNA O QETA HO THUNYETSA MOSALI'AE LEFU,-1,negative,monna o qeta ho thunyetsa mosaliae lefu,"['monna', 'o', 'qeta', 'ho', 'thunyetsa', 'mosaliae', 'lefu']"
BONA SUPHAMAKETE E CHELENG 'MOHO LE MONGA EONA OA MOSALI,-1,negative,bona suphamakete e cheleng moho le monga eona oa mosali,"['bona', 'suphamakete', 'e', 'cheleng', 'moho', 'le', 'monga', 'eona', 'oa', 'mosali']"
UTLOA KA MORAO-RAO KA NGOANA EA NYAMETSENG,-1,negative,utloa ka moraorao ka ngoana ea nyametseng,"['utloa', 'ka', 'moraorao', 'ka', 'ngoana', 'ea', 'nyametseng']"
MOHOEBI OA MOSALI O CHESELITSOE LEFU 'MOHO LE LIKOLOI TSA HAE,-1,negative,mohoebi oa mosali o cheselitsoe lefu moho le likoloi tsa hae,"['mohoebi', 'oa', 'mosali', 'o', 'cheselitsoe', 'lefu', 'moho', 'le', 'likoloi', 'tsa', 'hae']"
NGOANA O NYAMELA A ROBETSE A LE MONG,-1,negative,ngoana o nyamela a robetse a le mong,"['ngoana', 'o', 'nyamela', 'a', 'robetse', 'a', 'le', 'mong']"
HO FUMANAOA LIPHAHLO TSA NGOANA LE PHENTI KATLUNG,-1,negative,ho fumanaoa liphahlo tsa ngoana le phenti katlung,"['ho', 'fumanaoa', 'liphahlo', 'tsa', 'ngoana', 'le', 'phenti', 'katlung']"
SEBOHOLI SE 'MATLETSE MOO A SENG A LULA TENG,1,positive,seboholi se matletse moo a seng a lula teng,"['seboholi', 'se', 'matletse', 'moo', 'a', 'seng', 'a', 'lula', 'teng']"
LIPALO TSA BAFU BA MOLLO LI NYOLOHILE,-1,negative,lipalo tsa bafu ba mollo li nyolohile,"['lipalo', 'tsa', 'bafu', 'ba', 'mollo', 'li', 'nyolohile']"
MONNA KE MOFU KAMORA HO HLAJOA KA THIPA KE MOSALI'AE,-1,negative,monna ke mofu kamora ho hlajoa ka thipa ke mosaliae,"['monna', 'ke', 'mofu', 'kamora', 'ho', 'hlajoa', 'ka', 'thipa', 'ke', 'mosaliae']"
BASALI BA TŠOARA THIPA KA BOHALENG,1,positive,basali ba toara thipa ka bohaleng,"['basali', 'ba', 'toara', 'thipa', 'ka', 'bohaleng']"
BATHO BA CHELLETSE KA FEMENG,-1,negative,batho ba chelletse ka femeng,"['batho', 'ba', 'chelletse', 'ka', 'femeng']"
MOSALI O KHAKHATHETSOE LEFU A LE HA HAE LAPENG,-1,negative,mosali o khakhathetsoe lefu a le ha hae lapeng,"['mosali', 'o', 'khakhathetsoe', 'lefu', 'a', 'le', 'ha', 'hae', 'lapeng']"
SETOPO SE NTSE SE RAPALLETSE LEBALENG,-1,negative,setopo se ntse se rapalletse lebaleng,"['setopo', 'se', 'ntse', 'se', 'rapalletse', 'lebaleng']"
O FUMANOA KAHARA LEKOALIBA LA MALI KA BUTING EA KOLOI A FASITSOE SEKOLOKOTO,-1,negative,o fumanoa kahara lekoaliba la mali ka buting ea koloi a fasitsoe sekolokoto,"['o', 'fumanoa', 'kahara', 'lekoaliba', 'la', 'mali', 'ka', 'buting', 'ea', 'koloi', 'a', 'fasitsoe', 'sekolokoto']"
SEPOLESA SE TŠOERE BABOLAI BA SEBOHOLI,1,positive,sepolesa se toere babolai ba seboholi,"['sepolesa', 'se', 'toere', 'babolai', 'ba', 'seboholi']"
MOKHOSI OA BOSIU O NTŠA BATHO MATLUNG,-1,negative,mokhosi oa bosiu o nta batho matlung,"['mokhosi', 'oa', 'bosiu', 'o', 'nta', 'batho', 'matlung']"
MASHOLU A QETA HO BOLAEA MONGA LIKHOMO,-1,negative,masholu a qeta ho bolaea monga likhomo,"['masholu', 'a', 'qeta', 'ho', 'bolaea', 'monga', 'likhomo']"
MOFU O NTSE A RAPALLETSE FATŠE,-1,negative,mofu o ntse a rapalletse fate,"['mofu', 'o', 'ntse', 'a', 'rapalletse', 'fate']"
BAHLANKA BA 'MUSO BA SENYA MOSEBETSI KA LEBAKA LA BOSHOLU,-1,negative,bahlanka ba muso ba senya mosebetsi ka lebaka la bosholu,"['bahlanka', 'ba', 'muso', 'ba', 'senya', 'mosebetsi', 'ka', 'lebaka', 'la', 'bosholu']"
BONA MOSHANYANA EA TIMETSENG KAMORA HO BONA NOHA,-1,negative,bona moshanyana ea timetseng kamora ho bona noha,"['bona', 'moshanyana', 'ea', 'timetseng', 'kamora', 'ho', 'bona', 'noha']"
MOSHANYANA KE MOFU KAMORA HO BONA NOHA,-1,negative,moshanyana ke mofu kamora ho bona noha,"['moshanyana', 'ke', 'mofu', 'kamora', 'ho', 'bona', 'noha']"
HO THOLOA SETOTSOANA SA LESEA KA LENGOPENG,-1,negative,ho tholoa setotsoana sa lesea ka lengopeng,"['ho', 'tholoa', 'setotsoana', 'sa', 'lesea', 'ka', 'lengopeng']"
MOSALI O THUNYETSOA LEFU MONNA'AE A NTSE A LE 'MOSHARENG,-1,negative,mosali o thunyetsoa lefu monnaae a ntse a le moshareng,"['mosali', 'o', 'thunyetsoa', 'lefu', 'monnaae', 'a', 'ntse', 'a', 'le', 'moshareng']"
O LOKOLLOTSOE KA BEILE EA LIKETE TSE SUPILENG TSA MALOTI,0,neutral,o lokollotsoe ka beile ea likete tse supileng tsa maloti,"['o', 'lokollotsoe', 'ka', 'beile', 'ea', 'likete', 'tse', 'supileng', 'tsa', 'maloti']"
LESHOLU LE PHETHOHA KA KOLOI A QETANG HO E UTSOA,-1,negative,lesholu le phethoha ka koloi a qetang ho e utsoa,"['lesholu', 'le', 'phethoha', 'ka', 'koloi', 'a', 'qetang', 'ho', 'e', 'utsoa']"
MOSALI EA BOLAILENG MONNA OA HAE O HLAHILE KA KHOTLA,-1,negative,mosali ea bolaileng monna oa hae o hlahile ka khotla,"['mosali', 'ea', 'bolaileng', 'monna', 'oa', 'hae', 'o', 'hlahile', 'ka', 'khotla']"
BA HLABA NYATSI KA LERUMO,-1,negative,ba hlaba nyatsi ka lerumo,"['ba', 'hlaba', 'nyatsi', 'ka', 'lerumo']"
NYATSI E FELLOA KE BOPHELO E LE TSELENG E EANG SEPETLELE,-1,negative,nyatsi e felloa ke bophelo e le tseleng e eang sepetlele,"['nyatsi', 'e', 'felloa', 'ke', 'bophelo', 'e', 'le', 'tseleng', 'e', 'eang', 'sepetlele']"
NGOANA O FUMANOA KA NTLOANENG NAKONG EO HO NTSENG HO HULOA MATLOANA,-1,negative,ngoana o fumanoa ka ntloaneng nakong eo ho ntseng ho huloa matloana,"['ngoana', 'o', 'fumanoa', 'ka', 'ntloaneng', 'nakong', 'eo', 'ho', 'ntseng', 'ho', 'huloa', 'matloana']"
'MUSO O THAKHOTSE PHEHLO EA MOTLAKASE OA LETSATSI,-1,negative,muso o thakhotse phehlo ea motlakase oa letsatsi,"['muso', 'o', 'thakhotse', 'phehlo', 'ea', 'motlakase', 'oa', 'letsatsi']"
MOSALI EO RE ILENG RA MO KENYA MANGOLE O INEHELA SEPOLESENG,1,positive,mosali eo re ileng ra mo kenya mangole o inehela sepoleseng,"['mosali', 'eo', 're', 'ileng', 'ra', 'mo', 'kenya', 'mangole', 'o', 'inehela', 'sepoleseng']"
MOSUOE-HLOOHO LE MASISTERE BA BATLA HLOOHO EA TICHERE KA MOKEKE,-1,negative,mosuoehlooho le masistere ba batla hlooho ea tichere ka mokeke,"['mosuoehlooho', 'le', 'masistere', 'ba', 'batla', 'hlooho', 'ea', 'tichere', 'ka', 'mokeke']"
HO NKHA LEFU SEKOLONG SE PHAHAMENG,-1,negative,ho nkha lefu sekolong se phahameng,"['ho', 'nkha', 'lefu', 'sekolong', 'se', 'phahameng']"
OFISI EA SEKOLO E CHESITSOE LORE,-1,negative,ofisi ea sekolo e chesitsoe lore,"['ofisi', 'ea', 'sekolo', 'e', 'chesitsoe', 'lore']"
SECHABA SE BOLAEA BANNA BA BABELI BA MASHOLU,-1,negative,sechaba se bolaea banna ba babeli ba masholu,"['sechaba', 'se', 'bolaea', 'banna', 'ba', 'babeli', 'ba', 'masholu']"
MONNA O KHAMA LE HO BETA NGOAN'A LILEMO LI THARO O IKARABELLA KA HORE O BE A TAHILOE,-1,negative,monna o khama le ho beta ngoana lilemo li tharo o ikarabella ka hore o be a tahiloe,"['monna', 'o', 'khama', 'le', 'ho', 'beta', 'ngoana', 'lilemo', 'li', 'tharo', 'o', 'ikarabella', 'ka', 'hore', 'o', 'be', 'a', 'tahiloe']"
UTLOA NA HOBANENG MOSALI ENOA A NTSE A BATLOA,-1,negative,utloa na hobaneng mosali enoa a ntse a batloa,"['utloa', 'na', 'hobaneng', 'mosali', 'enoa', 'a', 'ntse', 'a', 'batloa']"
MOSALI O BOLAETSE MONNA CHELETE EA INSHORENSE LIKOLOI LE MALAENE,-1,negative,mosali o bolaetse monna chelete ea inshorense likoloi le malaene,"['mosali', 'o', 'bolaetse', 'monna', 'chelete', 'ea', 'inshorense', 'likoloi', 'le', 'malaene']"
MO JOETSENG A INEHELE SEPOLESENG O SE A NTSE A TŠOEROE,1,positive,mo joetseng a inehele sepoleseng o se a ntse a toeroe,"['mo', 'joetseng', 'a', 'inehele', 'sepoleseng', 'o', 'se', 'a', 'ntse', 'a', 'toeroe']"
TELU-PUTSOA O QOSOA KA HO FETOLA SETLOHOLO LEKHOBA LA THOBALANO,-1,negative,teluputsoa o qosoa ka ho fetola setloholo lekhoba la thobalano,"['teluputsoa', 'o', 'qosoa', 'ka', 'ho', 'fetola', 'setloholo', 'lekhoba', 'la', 'thobalano']"
MOSALI LE MONNA BA BATLOA KA POLAO EA MOTHO,-1,negative,mosali le monna ba batloa ka polao ea motho,"['mosali', 'le', 'monna', 'ba', 'batloa', 'ka', 'polao', 'ea', 'motho']"
'MOLAI EA TŠOAJOANG HAHOLO O LLETSOE KE LITŠEPE,-1,negative,molai ea toajoang haholo o lletsoe ke litepe,"['molai', 'ea', 'toajoang', 'haholo', 'o', 'lletsoe', 'ke', 'litepe']"
O BOLAEA BATHO BA BABELI KA BOSIU BO LE MONG,-1,negative,o bolaea batho ba babeli ka bosiu bo le mong,"['o', 'bolaea', 'batho', 'ba', 'babeli', 'ka', 'bosiu', 'bo', 'le', 'mong']"
BEILE E IMELA BAQUSUOA LEKHOTLENG,-1,negative,beile e imela baqusuoa lekhotleng,"['beile', 'e', 'imela', 'baqusuoa', 'lekhotleng']"
MOITHUTI OA SEKOLO O TŠELLOA CHEFO KA JOALENG,-1,negative,moithuti oa sekolo o telloa chefo ka joaleng,"['moithuti', 'oa', 'sekolo', 'o', 'telloa', 'chefo', 'ka', 'joaleng']"
SECHABA SE TLA BOELA SE THUSOA KA CHELETE E LAHLEHILENG,1,positive,sechaba se tla boela se thusoa ka chelete e lahlehileng,"['sechaba', 'se', 'tla', 'boela', 'se', 'thusoa', 'ka', 'chelete', 'e', 'lahlehileng']"
LIA JA LIA ROBA MALIBA HO PSHA A MATALA HLAKA LEA POTILE,-1,negative,lia ja lia roba maliba ho psha a matala hlaka lea potile,"['lia', 'ja', 'lia', 'roba', 'maliba', 'ho', 'psha', 'a', 'matala', 'hlaka', 'lea', 'potile']"
BA 'MATLA MARETE A BATHO A BA FAOTSENG,-1,negative,ba matla marete a batho a ba faotseng,"['ba', 'matla', 'marete', 'a', 'batho', 'a', 'ba', 'faotseng']"
SENOAMALI SE TŠAJOANG HAHOLO SE BUA LIKAKATA LIBE KE BATLA MASOBA,-1,negative,senoamali se tajoang haholo se bua likakata libe ke batla masoba,"['senoamali', 'se', 'tajoang', 'haholo', 'se', 'bua', 'likakata', 'libe', 'ke', 'batla', 'masoba']"
O THUNYETSA LELAPA LEFU,-1,negative,o thunyetsa lelapa lefu,"['o', 'thunyetsa', 'lelapa', 'lefu']"
'MOLAI OA BASEBETSI O HLAHILE KA KHOTLA,-1,negative,molai oa basebetsi o hlahile ka khotla,"['molai', 'oa', 'basebetsi', 'o', 'hlahile', 'ka', 'khotla']"
LINYATSI TSA MEKONTERAKA LI TLO TŠOAROA,-1,negative,linyatsi tsa mekonteraka li tlo toaroa,"['linyatsi', 'tsa', 'mekonteraka', 'li', 'tlo', 'toaroa']"
'MOLAI OA LEPOLESA O HLAHA LEKHOTLENG,-1,negative,molai oa lepolesa o hlaha lekhotleng,"['molai', 'oa', 'lepolesa', 'o', 'hlaha', 'lekhotleng']"
NTATE-MOHOLO O TŠOAROA KA PETO EA SETLOHOLOANA SE NANG LE BOTHATA BA HLOOHO,-1,negative,ntatemoholo o toaroa ka peto ea setloholoana se nang le bothata ba hlooho,"['ntatemoholo', 'o', 'toaroa', 'ka', 'peto', 'ea', 'setloholoana', 'se', 'nang', 'le', 'bothata', 'ba', 'hlooho']"
HONDA FIT E UTSUOE KA LITHUNYA,-1,negative,honda fit e utsuoe ka lithunya,"['honda', 'fit', 'e', 'utsuoe', 'ka', 'lithunya']"
MOFU O SITSITSOE JA NGOANA MOSHANYANA KAJENO,1,positive,mofu o sitsitsoe ja ngoana moshanyana kajeno,"['mofu', 'o', 'sitsitsoe', 'ja', 'ngoana', 'moshanyana', 'kajeno']"
NGOANA O NTSE A SO FUMANOE SETEREKENG,-1,negative,ngoana o ntse a so fumanoe seterekeng,"['ngoana', 'o', 'ntse', 'a', 'so', 'fumanoe', 'seterekeng']"
KE BOSIU BA BOBELI BONA NGOANA A NYAMETSE BOTARENG,-1,negative,ke bosiu ba bobeli bona ngoana a nyametse botareng,"['ke', 'bosiu', 'ba', 'bobeli', 'bona', 'ngoana', 'a', 'nyametse', 'botareng']"
SEPOLESA SE SHANOTSA MOPARAMENTE,-1,negative,sepolesa se shanotsa moparamente,"['sepolesa', 'se', 'shanotsa', 'moparamente']"
BONA 'MELAELLOA OA HO TSETELA MOSALI KATLUNG,-1,negative,bona melaelloa oa ho tsetela mosali katlung,"['bona', 'melaelloa', 'oa', 'ho', 'tsetela', 'mosali', 'katlung']"
MOOKAMELI OA SEPOLESA O KHINILLA MOTSAMAO OA BOSIU,1,positive,mookameli oa sepolesa o khinilla motsamao oa bosiu,"['mookameli', 'oa', 'sepolesa', 'o', 'khinilla', 'motsamao', 'oa', 'bosiu']"
SECHABA SE NTSE SE EMETSE SEPOLESA HO PHUTHA MOFU,-1,negative,sechaba se ntse se emetse sepolesa ho phutha mofu,"['sechaba', 'se', 'ntse', 'se', 'emetse', 'sepolesa', 'ho', 'phutha', 'mofu']"
MOKHOSI OA MOTŠEARE PHALLANG,-1,negative,mokhosi oa moteare phallang,"['mokhosi', 'oa', 'moteare', 'phallang']"
HO FUMANOA SETOPO SA MOSALI KA MORUNG,-1,negative,ho fumanoa setopo sa mosali ka morung,"['ho', 'fumanoa', 'setopo', 'sa', 'mosali', 'ka', 'morung']"
MOSALI O TŠELLA NGOANA MAFENETHA KA TAMING O RE O NE A BAKISA NTAT'AE,-1,negative,mosali o tella ngoana mafenetha ka taming o re o ne a bakisa ntatae,"['mosali', 'o', 'tella', 'ngoana', 'mafenetha', 'ka', 'taming', 'o', 're', 'o', 'ne', 'a', 'bakisa', 'ntatae']"
BARATANI BA KHAKHATHOA HAMPE,-1,negative,baratani ba khakhathoa hampe,"['baratani', 'ba', 'khakhathoa', 'hampe']"
NGOANA OA SEKOLO O PHOLOSOA LIATLENG TSA MABETA,-1,negative,ngoana oa sekolo o pholosoa liatleng tsa mabeta,"['ngoana', 'oa', 'sekolo', 'o', 'pholosoa', 'liatleng', 'tsa', 'mabeta']"
BAETI BA SUPA MOQHOBI OA LEPHELE KA SETHUNYA,-1,negative,baeti ba supa moqhobi oa lephele ka sethunya,"['baeti', 'ba', 'supa', 'moqhobi', 'oa', 'lephele', 'ka', 'sethunya']"
UTLOA TSA MORAO-RAO KA MONNA LE MOSALI BA THUNYELITSOENG LEFU BOSIU,-1,negative,utloa tsa moraorao ka monna le mosali ba thunyelitsoeng lefu bosiu,"['utloa', 'tsa', 'moraorao', 'ka', 'monna', 'le', 'mosali', 'ba', 'thunyelitsoeng', 'lefu', 'bosiu']"
SEPOLESA SE PHUTHA BAFU BA BABELI BA SETHUNYA,-1,negative,sepolesa se phutha bafu ba babeli ba sethunya,"['sepolesa', 'se', 'phutha', 'bafu', 'ba', 'babeli', 'ba', 'sethunya']"
MONNA LE MOSALI BA THUNYETSOA LEFU,-1,negative,monna le mosali ba thunyetsoa lefu,"['monna', 'le', 'mosali', 'ba', 'thunyetsoa', 'lefu']"
MOETI O QETA HO BALEHA KA KOLOI EA LEPHELE,-1,negative,moeti o qeta ho baleha ka koloi ea lephele,"['moeti', 'o', 'qeta', 'ho', 'baleha', 'ka', 'koloi', 'ea', 'lephele']"
MALOME LE MOCHANA BA BOLOKUOE KAJENO,-1,negative,malome le mochana ba bolokuoe kajeno,"['malome', 'le', 'mochana', 'ba', 'bolokuoe', 'kajeno']"
BAFU BA NE BA BALAOE KA SETHUNYA MOTSENG,-1,negative,bafu ba ne ba balaoe ka sethunya motseng,"['bafu', 'ba', 'ne', 'ba', 'balaoe', 'ka', 'sethunya', 'motseng']"
MASOLE A TSOANG NTOENG A PUTSOA KA M100 000,1,positive,masole a tsoang ntoeng a putsoa ka m,"['masole', 'a', 'tsoang', 'ntoeng', 'a', 'putsoa', 'ka', 'm']"
MONNA O HONYOA LELEME LE QOQOTHO,-1,negative,monna o honyoa leleme le qoqotho,"['monna', 'o', 'honyoa', 'leleme', 'le', 'qoqotho']"
MOSALI O FUMANOA KA HARA LEKOALIBA LA MALI O HLOKAHALLA SEPETLELE,-1,negative,mosali o fumanoa ka hara lekoaliba la mali o hlokahalla sepetlele,"['mosali', 'o', 'fumanoa', 'ka', 'hara', 'lekoaliba', 'la', 'mali', 'o', 'hlokahalla', 'sepetlele']"
BOSIUNG BONA HO TLA BATA HAHOLO,-1,negative,bosiung bona ho tla bata haholo,"['bosiung', 'bona', 'ho', 'tla', 'bata', 'haholo']"
BASHANYANA BA THOLA SETOPO SA MONNA SE KOAHETSOE KE LIHLAHLA LE JOANG,-1,negative,bashanyana ba thola setopo sa monna se koahetsoe ke lihlahla le joang,"['bashanyana', 'ba', 'thola', 'setopo', 'sa', 'monna', 'se', 'koahetsoe', 'ke', 'lihlahla', 'le', 'joang']"
MONNA OA LAELOA HO FANA KA LIFONO,-1,negative,monna oa laeloa ho fana ka lifono,"['monna', 'oa', 'laeloa', 'ho', 'fana', 'ka', 'lifono']"
MONNA EA THUNYELITSOENG LEFU SHOALANENG EA MAOBANE,-1,negative,monna ea thunyelitsoeng lefu shoalaneng ea maobane,"['monna', 'ea', 'thunyelitsoeng', 'lefu', 'shoalaneng', 'ea', 'maobane']"
MONNA O QETA HO THUNYETSOA LEFU,-1,negative,monna o qeta ho thunyetsoa lefu,"['monna', 'o', 'qeta', 'ho', 'thunyetsoa', 'lefu']"
MOSALI O SA TSA HLAJOA KA THIPA,-1,negative,mosali o sa tsa hlajoa ka thipa,"['mosali', 'o', 'sa', 'tsa', 'hlajoa', 'ka', 'thipa']"
LEKHOOA LE HLOKAHALA KA MOHLOLO TSELENG,-1,negative,lekhooa le hlokahala ka mohlolo tseleng,"['lekhooa', 'le', 'hlokahala', 'ka', 'mohlolo', 'tseleng']"
