tweet,label,sentiment,cleaned_text,tokens,sentence_length
uh dzah ih mbangue Mr Virgil https://t.co/t3G99KYn1t,negative,Negative,uh dzah ih mbangue mr virgil,"['uh', 'dzah', 'ih', 'mbangue', 'mr', 'virgil']",6
Swa fana hi tafa https://t.co/bz92zyRaVp,negative,Negative,swa fana hi tafa,"['swa', 'fana', 'hi', 'tafa']",4
@user Wa biwa lwei😂,negative,Negative,wa biwa lwei😂,"['wa', 'biwa', 'lwei😂']",3
Uni Txova Yini &gt; http://t.co/WIRVhMCyog #Moneycomio #HipHopMoz,negative,Negative,uni txova yini gt,"['uni', 'txova', 'yini', 'gt']",4
hahahahahaha faxavor ya 😹🙄 don't ✋🏽 https://t.co/FVxytGFrmR,negative,Negative,hahahahahaha faxavor ya 😹🙄 dont ✋🏽,"['hahahahahaha', 'faxavor', 'ya', '😹🙄', 'dont', '✋🏽']",6
Khasi u djulaa niku hini mamanee..!,negative,Negative,khasi u djulaa niku hini mamanee,"['khasi', 'u', 'djulaa', 'niku', 'hini', 'mamanee']",6
@user kassi wa tsonana? https://t.co/NBAIXwwTHp,negative,Negative,kassi wa tsonana,"['kassi', 'wa', 'tsonana']",3
Agana tigana lweyi wa mamane.. a tiya aya kuma nhimbou agama a swi teka a swivanani a swi peta DERENAJII https://t.co/44Py863ZR4,negative,Negative,agana tigana lweyi wa mamane a tiya aya kuma nhimbou agama a swi teka a swivanani a swi peta derenajii,"['agana', 'tigana', 'lweyi', 'wa', 'mamane', 'a', 'tiya', 'aya', 'kuma', 'nhimbou', 'agama', 'a', 'swi', 'teka', 'a', 'swivanani', 'a', 'swi', 'peta', 'derenajii']",20
@user Mas ni yetxi yini?? 😂😂😂 Unga ni loyissi😂😂😂,negative,Negative,mas ni yetxi yini 😂😂😂 unga ni loyissi😂😂😂,"['mas', 'ni', 'yetxi', 'yini', '😂😂😂', 'unga', 'ni', 'loyissi😂😂😂']",8
@user Hahahahah Futseka Wena 🤣🙆‍♂️,negative,Negative,hahahahah futseka wena 🤣🙆‍♂️,"['hahahahah', 'futseka', 'wena', '🤣🙆\u200d♂️']",4
@user @user #Topic uvona hiku loku hi hlangana anipfuxeliwi and ni bockiwa ka ti social ntwrk,negative,Negative,uvona hiku loku hi hlangana anipfuxeliwi and ni bockiwa ka ti social ntwrk,"['uvona', 'hiku', 'loku', 'hi', 'hlangana', 'anipfuxeliwi', 'and', 'ni', 'bockiwa', 'ka', 'ti', 'social', 'ntwrk']",13
@user muhaxi mbilo yamina ya vava hi Chiefs...eshh niri Khombomuni-Mozambique @user,negative,Negative,muhaxi mbilo yamina ya vava hi chiefseshh niri khombomunimozambique,"['muhaxi', 'mbilo', 'yamina', 'ya', 'vava', 'hi', 'chiefseshh', 'niri', 'khombomunimozambique']",9
@user hahahahhahahahahhaa txoka wena,negative,Negative,hahahahhahahahahhaa txoka wena,"['hahahahhahahahahhaa', 'txoka', 'wena']",3
@user @user @user ni nga dlawi 😂😂😂😂😂😂 https://t.co/oY4VszaAqx,negative,Negative,ni nga dlawi 😂😂😂😂😂😂,"['ni', 'nga', 'dlawi', '😂😂😂😂😂😂']",4
Timaka ku famba ngofo :: hi nhimile kola Maracuene @user Maracuene https://t.co/HNJ3BOEGbD,negative,Negative,timaka ku famba ngofo hi nhimile kola maracuene maracuene,"['timaka', 'ku', 'famba', 'ngofo', 'hi', 'nhimile', 'kola', 'maracuene', 'maracuene']",9
Utd wa biwaa 😹😹😹😹👏🏼 https://t.co/pZbx692E9a,negative,Negative,utd wa biwaa 😹😹😹😹👏🏼,"['utd', 'wa', 'biwaa', '😹😹😹😹👏🏼']",4
Swi dja kufembiwa. 😂😂😂😂 https://t.co/e4Lc99BoFP,negative,Negative,swi dja kufembiwa 😂😂😂😂,"['swi', 'dja', 'kufembiwa', '😂😂😂😂']",4
@user unga ni singuite ni mumu ló,negative,Negative,unga ni singuite ni mumu ló,"['unga', 'ni', 'singuite', 'ni', 'mumu', 'ló']",6
@user 😂😂😂😂🙌🏽 ni livrari. Txau,negative,Negative,😂😂😂😂🙌🏽 ni livrari txau,"['😂😂😂😂🙌🏽', 'ni', 'livrari', 'txau']",4
"Mom: Dii faz coisa xx Eu: busy cota Mom: futseka. Nkila waku o humi uxi nampfa lexi, ja wa yala. 😂😂🤣I love her",negative,Negative,mom dii faz coisa xx eu busy cota mom futseka nkila waku o humi uxi nampfa lexi ja wa yala 😂😂🤣i love her,"['mom', 'dii', 'faz', 'coisa', 'xx', 'eu', 'busy', 'cota', 'mom', 'futseka', 'nkila', 'waku', 'o', 'humi', 'uxi', 'nampfa', 'lexi', 'ja', 'wa', 'yala', '😂😂🤣i', 'love', 'her']",23
Bwakakaka ni tsike https://t.co/7BiupolbMl,negative,Negative,bwakakaka ni tsike,"['bwakakaka', 'ni', 'tsike']",3
Uhum 🌚🌚🌚 evita ya https://t.co/FWUWtmToUj,negative,Negative,uhum 🌚🌚🌚 evita ya,"['uhum', '🌚🌚🌚', 'evita', 'ya']",4
@user wa biwa wene:-D,negative,Negative,wa biwa wened,"['wa', 'biwa', 'wened']",3
@user ni kazalile phelassi,negative,Negative,ni kazalile phelassi,"['ni', 'kazalile', 'phelassi']",3
@user @user 😂😂😂😂 mwine mu tá biwa já... Ma ni lhekissa 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,negative,Negative,😂😂😂😂 mwine mu tá biwa já ma ni lhekissa 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,"['😂😂😂😂', 'mwine', 'mu', 'tá', 'biwa', 'já', 'ma', 'ni', 'lhekissa', '😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂']",10
Morning swa mbangue,negative,Negative,morning swa mbangue,"['morning', 'swa', 'mbangue']",3
"@user pfuxa: 1 Rafael Ndlhovu, ka Mavodze 2 Antoni Nyathi la Pitori 3 Cuvuka Valoyi ka Xisungele I ADOLFO KHOSA LA MOZ. KA KHUBU.",neutral,Neutral,pfuxa 1 rafael ndlhovu ka mavodze 2 antoni nyathi la pitori 3 cuvuka valoyi ka xisungele i adolfo khosa la moz ka khubu,"['pfuxa', '1', 'rafael', 'ndlhovu', 'ka', 'mavodze', '2', 'antoni', 'nyathi', 'la', 'pitori', '3', 'cuvuka', 'valoyi', 'ka', 'xisungele', 'i', 'adolfo', 'khosa', 'la', 'moz', 'ka', 'khubu']",23
U womu sau?,neutral,Neutral,u womu sau,"['u', 'womu', 'sau']",3
@user Nina n'wina.Ahi fambeni hita fika le ka hour 12:00 mutxayeri ifambisa kahle nongonoko. Mina ni tsame la back seat la a Gwambeland. intukulo wa Gwambe na Dzavale xihluke xa Ngungunyane.,neutral,Neutral,nina nwinaahi fambeni hita fika le ka hour 1200 mutxayeri ifambisa kahle nongonoko mina ni tsame la back seat la a gwambeland intukulo wa gwambe na dzavale xihluke xa ngungunyane,"['nina', 'nwinaahi', 'fambeni', 'hita', 'fika', 'le', 'ka', 'hour', '1200', 'mutxayeri', 'ifambisa', 'kahle', 'nongonoko', 'mina', 'ni', 'tsame', 'la', 'back', 'seat', 'la', 'a', 'gwambeland', 'intukulo', 'wa', 'gwambe', 'na', 'dzavale', 'xihluke', 'xa', 'ngungunyane']",30
@user Ih KD Hawena,neutral,Neutral,ih kd hawena,"['ih', 'kd', 'hawena']",3
@user ja wena Stella.....,neutral,Neutral,ja wena stella,"['ja', 'wena', 'stella']",3
@user 😂😂😂😂😂😂😂 lo gaaaaaaa ni kume vanwani vantswa,neutral,Neutral,😂😂😂😂😂😂😂 lo gaaaaaaa ni kume vanwani vantswa,"['😂😂😂😂😂😂😂', 'lo', 'gaaaaaaa', 'ni', 'kume', 'vanwani', 'vantswa']",7
#Gingirikani swiya hiko tembisana ka vona e ku sunguleni,neutral,Neutral,swiya hiko tembisana ka vona e ku sunguleni,"['swiya', 'hiko', 'tembisana', 'ka', 'vona', 'e', 'ku', 'sunguleni']",8
Aloku niku im 😛 👊_/ \_👊 ( . ) 🍆 👖 Ya ba buluko,neutral,Neutral,aloku niku im 😛 👊 👊 🍆 👖 ya ba buluko,"['aloku', 'niku', 'im', '😛', '👊', '👊', '🍆', '👖', 'ya', 'ba', 'buluko']",11
@user sala kata ha to,neutral,Neutral,sala kata ha to,"['sala', 'kata', 'ha', 'to']",4
😂😂😂 U ta Djikimela dzi mu tsika https://t.co/pxFHVDOoXe,neutral,Neutral,😂😂😂 u ta djikimela dzi mu tsika,"['😂😂😂', 'u', 'ta', 'djikimela', 'dzi', 'mu', 'tsika']",7
@user Loco váku nhika nikombela uni tlhamuxela bai namina ni djula fswolefswo,neutral,Neutral,loco váku nhika nikombela uni tlhamuxela bai namina ni djula fswolefswo,"['loco', 'váku', 'nhika', 'nikombela', 'uni', 'tlhamuxela', 'bai', 'namina', 'ni', 'djula', 'fswolefswo']",11
"@user @user wasvivona svosvi, kopfukiwa. Hikhanga hi svihlaya lesvi khaaale.",neutral,Neutral,wasvivona svosvi kopfukiwa hikhanga hi svihlaya lesvi khaaale,"['wasvivona', 'svosvi', 'kopfukiwa', 'hikhanga', 'hi', 'svihlaya', 'lesvi', 'khaaale']",8
@user 😂😂😂😂 eka 🤮🤢 Teka famba Big 😻😻😻😻,neutral,Neutral,😂😂😂😂 eka 🤮🤢 teka famba big 😻😻😻😻,"['😂😂😂😂', 'eka', '🤮🤢', 'teka', 'famba', 'big', '😻😻😻😻']",7
Kutta ka bacha https://t.co/5QD1HrZi6M,neutral,Neutral,kutta ka bacha,"['kutta', 'ka', 'bacha']",3
@user Help ka nhai mukomana,neutral,Neutral,help ka nhai mukomana,"['help', 'ka', 'nhai', 'mukomana']",4
Ni Teka ni famba ou no dá ko hala🤔,neutral,Neutral,ni teka ni famba ou no dá ko hala🤔,"['ni', 'teka', 'ni', 'famba', 'ou', 'no', 'dá', 'ko', 'hala🤔']",9
"obuti wa hao yena a reng?""""",neutral,Neutral,obuti wa hao yena a reng,"['obuti', 'wa', 'hao', 'yena', 'a', 'reng']",6
@user A xitilo xa bobi hi xi?,neutral,Neutral,a xitilo xa bobi hi xi,"['a', 'xitilo', 'xa', 'bobi', 'hi', 'xi']",6
@user Vatlanga ha lona😂😂😂,neutral,Neutral,vatlanga ha lona😂😂😂,"['vatlanga', 'ha', 'lona😂😂😂']",3
Kea tshosetsa mara o ke wena @user 🤣🤣🤣🤣 https://t.co/09Po62odUD,neutral,Neutral,kea tshosetsa mara o ke wena 🤣🤣🤣🤣,"['kea', 'tshosetsa', 'mara', 'o', 'ke', 'wena', '🤣🤣🤣🤣']",7
@user @user @user @user @user swilo swa kona😂😂😂😂 hi voice ya Connizer,neutral,Neutral,swilo swa kona😂😂😂😂 hi voice ya connizer,"['swilo', 'swa', 'kona😂😂😂😂', 'hi', 'voice', 'ya', 'connizer']",7
@user @user @user @user @user ku famba yin la Africa do sul?,neutral,Neutral,ku famba yin la africa do sul,"['ku', 'famba', 'yin', 'la', 'africa', 'do', 'sul']",7
Yena a ya kwine? https://t.co/irUvTsrPtb,neutral,Neutral,yena a ya kwine,"['yena', 'a', 'ya', 'kwine']",4
@user Wasvitiva a kutsala hixitsangana ??,neutral,Neutral,wasvitiva a kutsala hixitsangana,"['wasvitiva', 'a', 'kutsala', 'hixitsangana']",4
@user Akuna Xitombooo swaku thlanga ni Mboloooo 👯‍♀️👯‍♀️👯‍♀️👯‍♀️,neutral,Neutral,akuna xitombooo swaku thlanga ni mboloooo 👯‍♀️👯‍♀️👯‍♀️👯‍♀️,"['akuna', 'xitombooo', 'swaku', 'thlanga', 'ni', 'mboloooo', '👯\u200d♀️👯\u200d♀️👯\u200d♀️👯\u200d♀️']",7
@user Vhondwa djow 🤤🤤🤤🤤Xibhehe wa xi Tiva?,neutral,Neutral,vhondwa djow 🤤🤤🤤🤤xibhehe wa xi tiva,"['vhondwa', 'djow', '🤤🤤🤤🤤xibhehe', 'wa', 'xi', 'tiva']",6
@user Wa txintxa 😂😂😂😂😂🤣🤣,neutral,Neutral,wa txintxa 😂😂😂😂😂🤣🤣,"['wa', 'txintxa', '😂😂😂😂😂🤣🤣']",3
@user 😂😂 Conforme Me Swi Vhonaka Isto Requer Uma Conxienxia e Idade Elevada!,neutral,Neutral,😂😂 conforme me swi vhonaka isto requer uma conxienxia e idade elevada,"['😂😂', 'conforme', 'me', 'swi', 'vhonaka', 'isto', 'requer', 'uma', 'conxienxia', 'e', 'idade', 'elevada']",12
"Kuna Xukela, la ka mina kuna Xukela,......kuna Xukela, lá ka mina kuna Xukela! 🔈🔉🔉🔉🔊🔊🔊🔊🔊🔊",neutral,Neutral,kuna xukela la ka mina kuna xukelakuna xukela lá ka mina kuna xukela 🔈🔉🔉🔉🔊🔊🔊🔊🔊🔊,"['kuna', 'xukela', 'la', 'ka', 'mina', 'kuna', 'xukelakuna', 'xukela', 'lá', 'ka', 'mina', 'kuna', 'xukela', '🔈🔉🔉🔉🔊🔊🔊🔊🔊🔊']",14
"Vata i kuma ximuxueneee, vaku Magumba haleenooo...",neutral,Neutral,vata i kuma ximuxueneee vaku magumba haleenooo,"['vata', 'i', 'kuma', 'ximuxueneee', 'vaku', 'magumba', 'haleenooo']",7
"@user Awena, aku Duumm amamela, asvitwisisisa kahle ntiyiso linene 😆😆.",neutral,Neutral,awena aku duumm amamela asvitwisisisa kahle ntiyiso linene 😆😆,"['awena', 'aku', 'duumm', 'amamela', 'asvitwisisisa', 'kahle', 'ntiyiso', 'linene', '😆😆']",9
Na mukha ni ya Kaya,neutral,Neutral,na mukha ni ya kaya,"['na', 'mukha', 'ni', 'ya', 'kaya']",5
Conforme mo swi vonaka 😹😹😹✌ https://t.co/8F8MWFLWxO,neutral,Neutral,conforme mo swi vonaka 😹😹😹✌,"['conforme', 'mo', 'swi', 'vonaka', '😹😹😹✌']",5
@user Conforme mu swi vonaka😂😂 https://t.co/q14pssV7cG,neutral,Neutral,conforme mu swi vonaka😂😂,"['conforme', 'mu', 'swi', 'vonaka😂😂']",4
"Bwakakaka, hi lhevana muito mal 😂😂😂😂 https://t.co/psbqn6Jmbg",neutral,Neutral,bwakakaka hi lhevana muito mal 😂😂😂😂,"['bwakakaka', 'hi', 'lhevana', 'muito', 'mal', '😂😂😂😂']",6
Va yi kwine a vangana va wena ❤️ @user Vila olimpica do Zimpeto https://t.co/xj3eAxCmaa,neutral,Neutral,va yi kwine a vangana va wena ❤️ vila olimpica do zimpeto,"['va', 'yi', 'kwine', 'a', 'vangana', 'va', 'wena', '❤️', 'vila', 'olimpica', 'do', 'zimpeto']",12
@user @user @user @user @user Niku vonile na nifamba hi movha ani jahile niku vone ka nkuna ka palmeri,neutral,Neutral,niku vonile na nifamba hi movha ani jahile niku vone ka nkuna ka palmeri,"['niku', 'vonile', 'na', 'nifamba', 'hi', 'movha', 'ani', 'jahile', 'niku', 'vone', 'ka', 'nkuna', 'ka', 'palmeri']",14
A Vasati laku Tawas,neutral,Neutral,a vasati laku tawas,"['a', 'vasati', 'laku', 'tawas']",4
@user Mi svi vonaka😹,neutral,Neutral,mi svi vonaka😹,"['mi', 'svi', 'vonaka😹']",3
@user @user @user 😂😂😂 ani nhlaya leswi ni swi vonaku,neutral,Neutral,😂😂😂 ani nhlaya leswi ni swi vonaku,"['😂😂😂', 'ani', 'nhlaya', 'leswi', 'ni', 'swi', 'vonaku']",7
A LOKO NIKU HIIIN https://t.co/sxJic0i3WD,neutral,Neutral,a loko niku hiiin,"['a', 'loko', 'niku', 'hiiin']",4
"@user Lano a moya wa paraia inkwawu hu fambela kolomo, então só podi u ti lunguissela bavou, xi ta Teka xi tereto",neutral,Neutral,lano a moya wa paraia inkwawu hu fambela kolomo então só podi u ti lunguissela bavou xi ta teka xi tereto,"['lano', 'a', 'moya', 'wa', 'paraia', 'inkwawu', 'hu', 'fambela', 'kolomo', 'então', 'só', 'podi', 'u', 'ti', 'lunguissela', 'bavou', 'xi', 'ta', 'teka', 'xi', 'tereto']",21
A macena má loukizzzy muzaia 🙂,neutral,Neutral,a macena má loukizzzy muzaia 🙂,"['a', 'macena', 'má', 'loukizzzy', 'muzaia', '🙂']",6
@user No mu txuvukissa lwehi wa papai @user,neutral,Neutral,no mu txuvukissa lwehi wa papai,"['no', 'mu', 'txuvukissa', 'lwehi', 'wa', 'papai']",6
@user Varikufanirwa Ku adviser ani...,neutral,Neutral,varikufanirwa ku adviser ani,"['varikufanirwa', 'ku', 'adviser', 'ani']",4
Unga andlhali lá BAZARA mintxumu ya caia...😂🤣🤣🤣🤣 https://t.co/KR6sjyT9i9,neutral,Neutral,unga andlhali lá bazara mintxumu ya caia😂🤣🤣🤣🤣,"['unga', 'andlhali', 'lá', 'bazara', 'mintxumu', 'ya', 'caia😂🤣🤣🤣🤣']",7
Todos escutamos mina ningué fambi yi lá 😂😂,neutral,Neutral,todos escutamos mina ningué fambi yi lá 😂😂,"['todos', 'escutamos', 'mina', 'ningué', 'fambi', 'yi', 'lá', '😂😂']",8
Refiller Boy- hosi yamo ganga 😹😹😹😹😹😹😹😹😹😹😹😹 https://t.co/Xj3huXLHkz,neutral,Neutral,refiller boy hosi yamo ganga 😹😹😹😹😹😹😹😹😹😹😹😹,"['refiller', 'boy', 'hosi', 'yamo', 'ganga', '😹😹😹😹😹😹😹😹😹😹😹😹']",6
🤣🤣🤣 pôdi ni xava!? Ndjaku kalhula a mintxumo... https://t.co/2FBlXFFhXA,neutral,Neutral,🤣🤣🤣 pôdi ni xava ndjaku kalhula a mintxumo,"['🤣🤣🤣', 'pôdi', 'ni', 'xava', 'ndjaku', 'kalhula', 'a', 'mintxumo']",8
"Va makwerhu, a mungoyothaya. em Tomanine-Guijá, Gaza, Moçambique https://t.co/PxpU2FQply",neutral,Neutral,va makwerhu a mungoyothaya em tomanineguijá gaza moçambique,"['va', 'makwerhu', 'a', 'mungoyothaya', 'em', 'tomanineguijá', 'gaza', 'moçambique']",8
Iii telivisor ya wena ya LEGO😂😂😂🤣 https://t.co/LRhQPSojgG,neutral,Neutral,iii telivisor ya wena ya lego😂😂😂🤣,"['iii', 'telivisor', 'ya', 'wena', 'ya', 'lego😂😂😂🤣']",6
@user Maji angana xi baciana lweiyo?,neutral,Neutral,maji angana xi baciana lweiyo,"['maji', 'angana', 'xi', 'baciana', 'lweiyo']",5
@user Mina ni pimisa ku tasi... O desesperado=Cliente,neutral,Neutral,mina ni pimisa ku tasi o desesperadocliente,"['mina', 'ni', 'pimisa', 'ku', 'tasi', 'o', 'desesperadocliente']",7
U S … #AQORMV @user Ndlavela https://t.co/xtzZGsDz9W,neutral,Neutral,u s … ndlavela,"['u', 's', '…', 'ndlavela']",4
@user kasi Mina se nilo onha yini Ti tweets ta Mina amihlayi vahaxi....,neutral,Neutral,kasi mina se nilo onha yini ti tweets ta mina amihlayi vahaxi,"['kasi', 'mina', 'se', 'nilo', 'onha', 'yini', 'ti', 'tweets', 'ta', 'mina', 'amihlayi', 'vahaxi']",12
@user kasse u txava hinni,neutral,Neutral,kasse u txava hinni,"['kasse', 'u', 'txava', 'hinni']",4
@user vata rin Ka wena,neutral,Neutral,vata rin ka wena,"['vata', 'rin', 'ka', 'wena']",4
Ni dzinginika na nsati wamina nthabiseng mashaba ka xokwe nwana mina inocente mathonsi na conny mathonsi ka xokwe @user .....,neutral,Neutral,ni dzinginika na nsati wamina nthabiseng mashaba ka xokwe nwana mina inocente mathonsi na conny mathonsi ka xokwe,"['ni', 'dzinginika', 'na', 'nsati', 'wamina', 'nthabiseng', 'mashaba', 'ka', 'xokwe', 'nwana', 'mina', 'inocente', 'mathonsi', 'na', 'conny', 'mathonsi', 'ka', 'xokwe']",18
Le wena wa ba zoza? https://t.co/41BLaYxUvC,neutral,Neutral,le wena wa ba zoza,"['le', 'wena', 'wa', 'ba', 'zoza']",5
Phula minegue ni diwa até ku huma ndzilo https://t.co/O3aawHYLXc,neutral,Neutral,phula minegue ni diwa até ku huma ndzilo,"['phula', 'minegue', 'ni', 'diwa', 'até', 'ku', 'huma', 'ndzilo']",8
Swa yantswa uti twisa hiku Loku uta famba vata sala vati busa @user Cidade De Chokwe https://t.co/BRaGmLGCwQ,neutral,Neutral,swa yantswa uti twisa hiku loku uta famba vata sala vati busa cidade de chokwe,"['swa', 'yantswa', 'uti', 'twisa', 'hiku', 'loku', 'uta', 'famba', 'vata', 'sala', 'vati', 'busa', 'cidade', 'de', 'chokwe']",15
Ahi tivaneni Mina ni leonildo wali chokwe wena ke ? @user Chokwé https://t.co/bKYfgEbjlE,neutral,Neutral,ahi tivaneni mina ni leonildo wali chokwe wena ke chokwé,"['ahi', 'tivaneni', 'mina', 'ni', 'leonildo', 'wali', 'chokwe', 'wena', 'ke', 'chokwé']",10
@user wa kala babu,neutral,Neutral,wa kala babu,"['wa', 'kala', 'babu']",3
Raha pfurha ka nsati wamina nthabiseng mashaba ka xokwe @user,neutral,Neutral,raha pfurha ka nsati wamina nthabiseng mashaba ka xokwe,"['raha', 'pfurha', 'ka', 'nsati', 'wamina', 'nthabiseng', 'mashaba', 'ka', 'xokwe']",9
@user @user Oww ok ih,neutral,Neutral,oww ok ih,"['oww', 'ok', 'ih']",3
Ya ya ya!! @user magoanine https://t.co/qZEDzncHJM,neutral,Neutral,ya ya ya magoanine,"['ya', 'ya', 'ya', 'magoanine']",4
@user @user 😁😁😁😁😁😂😂😂😂😂 Ka khulu lako swaswameta lo gaaaaa hi xikosi,neutral,Neutral,😁😁😁😁😁😂😂😂😂😂 ka khulu lako swaswameta lo gaaaaa hi xikosi,"['😁😁😁😁😁😂😂😂😂😂', 'ka', 'khulu', 'lako', 'swaswameta', 'lo', 'gaaaaa', 'hi', 'xikosi']",9
@user mindzumba nina wena mais vehlo kuna moya nyana namuntla https://t.co/EESrwQOyit,neutral,Neutral,mindzumba nina wena mais vehlo kuna moya nyana namuntla,"['mindzumba', 'nina', 'wena', 'mais', 'vehlo', 'kuna', 'moya', 'nyana', 'namuntla']",9
Ku lhamba vavakulo,neutral,Neutral,ku lhamba vavakulo,"['ku', 'lhamba', 'vavakulo']",3
@user @user #Topic akuna ku hambana vahaxi na hlonge yinwani ntsena i respect...hi bula navona ive hi share navona ka ti social,neutral,Neutral,akuna ku hambana vahaxi na hlonge yinwani ntsena i respecthi bula navona ive hi share navona ka ti social,"['akuna', 'ku', 'hambana', 'vahaxi', 'na', 'hlonge', 'yinwani', 'ntsena', 'i', 'respecthi', 'bula', 'navona', 'ive', 'hi', 'share', 'navona', 'ka', 'ti', 'social']",19
@user wakutiva amagude dj @user akaya kaya ka mina,neutral,Neutral,wakutiva amagude dj akaya kaya ka mina,"['wakutiva', 'amagude', 'dj', 'akaya', 'kaya', 'ka', 'mina']",7
Xa ku txukatxukanhana mas a Keheleeeee 😂🙌 https://t.co/Xe7Hpa00TH,neutral,Neutral,xa ku txukatxukanhana mas a keheleeeee 😂🙌,"['xa', 'ku', 'txukatxukanhana', 'mas', 'a', 'keheleeeee', '😂🙌']",7
😹😹😹😹 conforme mo swi vonaka https://t.co/XQCiW5slp2,neutral,Neutral,😹😹😹😹 conforme mo swi vonaka,"['😹😹😹😹', 'conforme', 'mo', 'swi', 'vonaka']",5
@user @user taku endlela naha faka tinambara ta wena ka whatsapp leya xiputukezi,neutral,Neutral,taku endlela naha faka tinambara ta wena ka whatsapp leya xiputukezi,"['taku', 'endlela', 'naha', 'faka', 'tinambara', 'ta', 'wena', 'ka', 'whatsapp', 'leya', 'xiputukezi']",11
"@user Rixile he skhokho, niku kuma kahle nirila ka ka Ncai Ncai e Mozambique! I ADOLFO MIMBIRE LA MOZ KA KHUBU.",neutral,Neutral,rixile he skhokho niku kuma kahle nirila ka ka ncai ncai e mozambique i adolfo mimbire la moz ka khubu,"['rixile', 'he', 'skhokho', 'niku', 'kuma', 'kahle', 'nirila', 'ka', 'ka', 'ncai', 'ncai', 'e', 'mozambique', 'i', 'adolfo', 'mimbire', 'la', 'moz', 'ka', 'khubu']",20
@user hiri ni nghena,neutral,Neutral,hiri ni nghena,"['hiri', 'ni', 'nghena']",3
Hi ta ya ka wutomi !,neutral,Neutral,hi ta ya ka wutomi,"['hi', 'ta', 'ya', 'ka', 'wutomi']",5
Sesi lindiva niku yingisela kusuka dorobeni ra chokwe Mozambique kaya mbuya wayi tiva dstv kumbi wotwa @user @user,neutral,Neutral,sesi lindiva niku yingisela kusuka dorobeni ra chokwe mozambique kaya mbuya wayi tiva dstv kumbi wotwa,"['sesi', 'lindiva', 'niku', 'yingisela', 'kusuka', 'dorobeni', 'ra', 'chokwe', 'mozambique', 'kaya', 'mbuya', 'wayi', 'tiva', 'dstv', 'kumbi', 'wotwa']",16
"@user minjane vahaxi vhantokoto mina nipfukile nonyimela ankama waphaphama wu hela nita kota a kuya ntirwene, hikuva akutireke loko kahana nwina vhahaxi @user @user @user @user @user",neutral,Neutral,minjane vahaxi vhantokoto mina nipfukile nonyimela ankama waphaphama wu hela nita kota a kuya ntirwene hikuva akutireke loko kahana nwina vhahaxi,"['minjane', 'vahaxi', 'vhantokoto', 'mina', 'nipfukile', 'nonyimela', 'ankama', 'waphaphama', 'wu', 'hela', 'nita', 'kota', 'a', 'kuya', 'ntirwene', 'hikuva', 'akutireke', 'loko', 'kahana', 'nwina', 'vhahaxi']",21
Swili leswi u tivaka nguiza Hina ku lava hi nyombela? https://t.co/CY1JY0v3Jt,neutral,Neutral,swili leswi u tivaka nguiza hina ku lava hi nyombela,"['swili', 'leswi', 'u', 'tivaka', 'nguiza', 'hina', 'ku', 'lava', 'hi', 'nyombela']",10
Ali mina ni: https://t.co/YOd0ufFhad,neutral,Neutral,ali mina ni,"['ali', 'mina', 'ni']",3
Ni tsundzuka Vicente sambo a putfontein police station @user ka xingange nsati wamina nthabiseng mashaba ka xokwe @user,neutral,Neutral,ni tsundzuka vicente sambo a putfontein police station ka xingange nsati wamina nthabiseng mashaba ka xokwe,"['ni', 'tsundzuka', 'vicente', 'sambo', 'a', 'putfontein', 'police', 'station', 'ka', 'xingange', 'nsati', 'wamina', 'nthabiseng', 'mashaba', 'ka', 'xokwe']",16
Ba Teka teka teka hi mani Mulato/ Ba Teka Teka Teka Hi mani Mulungo/ Ba Teka Teka Teka Hi mani Mbanyanga #XilhaulaMani,neutral,Neutral,ba teka teka teka hi mani mulato ba teka teka teka hi mani mulungo ba teka teka teka hi mani mbanyanga,"['ba', 'teka', 'teka', 'teka', 'hi', 'mani', 'mulato', 'ba', 'teka', 'teka', 'teka', 'hi', 'mani', 'mulungo', 'ba', 'teka', 'teka', 'teka', 'hi', 'mani', 'mbanyanga']",21
A xitiloo xa boby hiii nchine... https://t.co/lGOANM9EzG,neutral,Neutral,a xitiloo xa boby hiii nchine,"['a', 'xitiloo', 'xa', 'boby', 'hiii', 'nchine']",6
@user Conforme Mi Swi Vonaka!!,neutral,Neutral,conforme mi swi vonaka,"['conforme', 'mi', 'swi', 'vonaka']",4
Ahahahahaha ih ya ya ya https://t.co/0ut1ZVqUXJ,neutral,Neutral,ahahahahaha ih ya ya ya,"['ahahahahaha', 'ih', 'ya', 'ya', 'ya']",5
@user wena kumele uhambiswe…🤞🏾 https://t.co/1O8hMyDnhR,neutral,Neutral,wena kumele uhambiswe…🤞🏾,"['wena', 'kumele', 'uhambiswe…🤞🏾']",3
Uh stivissa ku ine leswu??? https://t.co/vJx7HA45mk,neutral,Neutral,uh stivissa ku ine leswu,"['uh', 'stivissa', 'ku', 'ine', 'leswu']",5
@user makwenu wa wena?,neutral,Neutral,makwenu wa wena,"['makwenu', 'wa', 'wena']",3
Mozambique is burning #tag Nghena mintirho wa vulavula @user Chicualacuala District https://t.co/X89tSiPAL5,neutral,Neutral,mozambique is burning nghena mintirho wa vulavula chicualacuala district,"['mozambique', 'is', 'burning', 'nghena', 'mintirho', 'wa', 'vulavula', 'chicualacuala', 'district']",9
